,meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label,meanfreqcategories,sdcategories,mediancategories,Q25categories,Q75categories,IQRcategories,skewcategories,kurtcategories,sp.entcategories,sfmcategories,modecategories,centroidcategories,meanfuncategories,minfuncategories,maxfuncategories,meandomcategories,mindomcategories,maxdomcategories,dfrangecategories,modindxcategories
0,0.059780985,0.0642412677,0.0320269134,0.0150714886,0.0901934399,0.0751219512,12.8634618372,274.4029055021,0.8933694167,0.4919177664,0,0.059780985,0.0842791064,0.0157016683,0.275862069,0.0078125,0.0078125,0.0078125,0,0,male,Q1,Q2,Q1,Q1,Q1,Q1,Q2,Q1,Q3,Q2,,Q1,Q2,Q1,Q3,Q1,Q1,Q1,,
1,0.0660087404,0.0673100288,0.0402287348,0.019413867,0.0926661901,0.0732523231,22.4232853628,634.6138545421,0.8921932423,0.5137238425,0,0.0660087404,0.1079365537,0.0158259149,0.25,0.0090144231,0.0078125,0.0546875,0.046875,0.0526315789,male,Q1,Q2,Q1,Q1,Q2,Q1,Q2,Q2,Q3,Q2,,Q1,Q2,Q1,Q3,Q1,Q1,Q1,Q1,Q1
2,0.0773155027,0.0838294209,0.0367184587,0.0087010566,0.1319080174,0.1232069608,30.7571545801,1024.927704721,0.8463890919,0.4789049791,0,0.0773155027,0.0987062616,0.0156555773,0.2711864407,0.0079900568,0.0078125,0.015625,0.0078125,0.0465116279,male,Q1,Q3,Q1,Q1,Q2,Q2,Q3,Q3,Q3,Q2,,Q1,Q2,Q1,Q3,Q1,Q1,Q1,Q1,Q1
3,0.1512280917,0.0721105873,0.1580111871,0.0965817278,0.2079552517,0.1113735239,1.2328312755,4.1772962103,0.9633224615,0.7272317989,0.0838781852,0.1512280917,0.0889648486,0.0177975528,0.25,0.2014973958,0.0078125,0.5625,0.5546875,0.2471190781,male,Q2,Q2,Q2,Q2,Q3,Q2,Q1,Q1,Q3,Q3,Q1,Q2,Q2,Q1,Q3,Q1,Q1,Q1,Q1,Q1
4,0.1351203873,0.0791461005,0.1246562287,0.0787202178,0.2060449285,0.1273247107,1.1011736655,4.3337131547,0.9719550762,0.7835680576,0.1042614023,0.1351203873,0.1063978446,0.0169312169,0.2666666667,0.7128125,0.0078125,5.484375,5.4765625,0.2082738944,male,Q2,Q3,Q2,Q1,Q3,Q2,Q1,Q1,Q3,Q3,Q2,Q2,Q2,Q1,Q3,Q1,Q1,Q1,Q1,Q1
5,0.1327864073,0.079556866,0.1190898483,0.067957993,0.2095915986,0.1416336056,1.9325624321,8.3088950367,0.9631813463,0.7383070045,0.1125554259,0.1327864073,0.1101319201,0.0171122995,0.253968254,0.2982219828,0.0078125,2.7265625,2.71875,0.1251596424,male,Q2,Q3,Q2,Q1,Q3,Q2,Q1,Q1,Q3,Q3,Q2,Q2,Q2,Q1,Q3,Q1,Q1,Q1,Q1,Q1
6,0.1507623302,0.0744632052,0.160106383,0.0928989362,0.2057180851,0.1128191489,1.5306432314,5.987497658,0.9675730699,0.7626376703,0.0861968085,0.1507623302,0.1059445153,0.0262295082,0.2666666667,0.4796195652,0.0078125,5.3125,5.3046875,0.1239918648,male,Q2,Q2,Q2,Q2,Q3,Q2,Q1,Q1,Q3,Q3,Q1,Q2,Q2,Q1,Q3,Q1,Q1,Q1,Q1,Q1
7,0.1605143322,0.0767668849,0.1443367752,0.1105321684,0.2319618745,0.1214297061,1.3971563651,4.766610695,0.9592545698,0.719857907,0.1283240667,0.1605143322,0.0930524303,0.0177580466,0.1441441441,0.3013392857,0.0078125,0.5390625,0.53125,0.2839366516,male,Q2,Q2,Q2,Q2,Q3,Q2,Q1,Q1,Q3,Q3,Q2,Q2,Q2,Q1,Q2,Q1,Q1,Q1,Q1,Q1
8,0.1422394168,0.0780184624,0.1385874439,0.088206278,0.2085874439,0.1203811659,1.0997461512,4.0702837059,0.9707229322,0.7709920545,0.219103139,0.1422394168,0.0967289462,0.0179573513,0.25,0.3364762931,0.0078125,2.1640625,2.15625,0.1482720178,male,Q2,Q3,Q2,Q2,Q3,Q2,Q1,Q1,Q3,Q3,Q3,Q2,Q2,Q1,Q3,Q1,Q1,Q1,Q1,Q1
9,0.1343287773,0.0803500276,0.1214513469,0.075579989,0.2019571193,0.1263771303,1.1903684443,4.787309833,0.9752461425,0.804505253,0.0116987356,0.1343287773,0.1058809263,0.0193003619,0.262295082,0.3403645833,0.015625,4.6953125,4.6796875,0.0899199816,male,Q2,Q3,Q2,Q1,Q3,Q2,Q1,Q1,Q3,Q3,Q1,Q2,Q2,Q1,Q3,Q1,Q1,Q1,Q1,Q1
