meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.059780985,0.0642412677,0.0320269134,0.0150714886,0.0901934399,0.0751219512,12.8634618372,274.4029055021,0.8933694167,0.4919177664,0,0.059780985,0.0842791064,0.0157016683,0.275862069,0.0078125,0.0078125,0.0078125,0,0,male
0.0660087404,0.0673100288,0.0402287348,0.019413867,0.0926661901,0.0732523231,22.4232853628,634.6138545421,0.8921932423,0.5137238425,0,0.0660087404,0.1079365537,0.0158259149,0.25,0.0090144231,0.0078125,0.0546875,0.046875,0.0526315789,male
0.0773155027,0.0838294209,0.0367184587,0.0087010566,0.1319080174,0.1232069608,30.7571545801,1024.927704721,0.8463890919,0.4789049791,0,0.0773155027,0.0987062616,0.0156555773,0.2711864407,0.0079900568,0.0078125,0.015625,0.0078125,0.0465116279,male
0.1512280917,0.0721105873,0.1580111871,0.0965817278,0.2079552517,0.1113735239,1.2328312755,4.1772962103,0.9633224615,0.7272317989,0.0838781852,0.1512280917,0.0889648486,0.0177975528,0.25,0.2014973958,0.0078125,0.5625,0.5546875,0.2471190781,male
0.1351203873,0.0791461005,0.1246562287,0.0787202178,0.2060449285,0.1273247107,1.1011736655,4.3337131547,0.9719550762,0.7835680576,0.1042614023,0.1351203873,0.1063978446,0.0169312169,0.2666666667,0.7128125,0.0078125,5.484375,5.4765625,0.2082738944,male
0.1327864073,0.079556866,0.1190898483,0.067957993,0.2095915986,0.1416336056,1.9325624321,8.3088950367,0.9631813463,0.7383070045,0.1125554259,0.1327864073,0.1101319201,0.0171122995,0.253968254,0.2982219828,0.0078125,2.7265625,2.71875,0.1251596424,male
0.1507623302,0.0744632052,0.160106383,0.0928989362,0.2057180851,0.1128191489,1.5306432314,5.987497658,0.9675730699,0.7626376703,0.0861968085,0.1507623302,0.1059445153,0.0262295082,0.2666666667,0.4796195652,0.0078125,5.3125,5.3046875,0.1239918648,male
0.1605143322,0.0767668849,0.1443367752,0.1105321684,0.2319618745,0.1214297061,1.3971563651,4.766610695,0.9592545698,0.719857907,0.1283240667,0.1605143322,0.0930524303,0.0177580466,0.1441441441,0.3013392857,0.0078125,0.5390625,0.53125,0.2839366516,male
0.1422394168,0.0780184624,0.1385874439,0.088206278,0.2085874439,0.1203811659,1.0997461512,4.0702837059,0.9707229322,0.7709920545,0.219103139,0.1422394168,0.0967289462,0.0179573513,0.25,0.3364762931,0.0078125,2.1640625,2.15625,0.1482720178,male
0.1343287773,0.0803500276,0.1214513469,0.075579989,0.2019571193,0.1263771303,1.1903684443,4.787309833,0.9752461425,0.804505253,0.0116987356,0.1343287773,0.1058809263,0.0193003619,0.262295082,0.3403645833,0.015625,4.6953125,4.6796875,0.0899199816,male
0.1570205111,0.0719429307,0.1681601525,0.1014299333,0.2167397521,0.1153098189,0.9794422754,3.9742226255,0.9652491393,0.7336928779,0.0963584366,0.1570205111,0.088893983,0.0220689655,0.1176470588,0.4602272727,0.0078125,2.8125,2.8046875,0.2,male
0.1385505214,0.077053993,0.1275265957,0.0873138298,0.2027393617,0.1154255319,1.6267698668,6.2913650787,0.9660037751,0.7520420127,0.0121010638,0.1385505214,0.1041993187,0.019138756,0.262295082,0.24609375,0.0078125,2.71875,2.7109375,0.1323513715,male
0.1373427419,0.0808767069,0.1242625081,0.0831448993,0.2092267706,0.1260818713,1.3787282035,5.008951625,0.9635135278,0.7361499551,0.1084340481,0.1373427419,0.0926440193,0.0167890871,0.2133333333,0.4816706731,0.015625,5.015625,5,0.0885,male
0.1812254594,0.0600420545,0.1909532062,0.1288388215,0.2295320624,0.1006932409,1.3694304576,5.475599788,0.9374457605,0.5370799949,0.2198266898,0.1812254594,0.1315037223,0.025,0.275862069,1.2771139706,0.0078125,2.8046875,2.796875,0.4165502793,male
0.1831152807,0.0669823504,0.1912325286,0.1291486658,0.2401524778,0.1110038119,3.5681040235,35.3847484526,0.9403326229,0.5713942015,0.0499872935,0.1831152807,0.1027986951,0.0208333333,0.275862069,1.2457386364,0.203125,6.7421875,6.5390625,0.1393317678,male
0.1742721052,0.0694110453,0.1908741067,0.1156019791,0.2282792743,0.1126772952,4.4850383502,61.7649083141,0.9509720247,0.6351991784,0.0500274876,0.1742721052,0.1020459915,0.018327606,0.2461538462,1.6212993421,0.0078125,7,6.9921875,0.209310987,male
0.1908462977,0.0657902824,0.2079509871,0.1322804629,0.2443567052,0.1120762423,1.562303683,7.8343498864,0.9385460134,0.5388095841,0.0501293397,0.1908462977,0.1133228015,0.0175438596,0.275862069,1.4341145833,0.0078125,6.3203125,6.3125,0.2547797883,male
0.1712469713,0.0748715697,0.1528066528,0.1223908524,0.2436174636,0.1212266112,3.207169827,25.7655649448,0.9369535369,0.5864195142,0.05995842,0.1712469713,0.0797183122,0.0156709109,0.262295082,0.1062794811,0.0078125,0.5703125,0.5625,0.1383547009,male
0.1683459462,0.0741208171,0.1456184717,0.1157559098,0.2398240792,0.1240681693,2.7043347287,18.4847025969,0.9345233796,0.5597423183,0.0600329852,0.1683459462,0.0834840221,0.0157170923,0.231884058,0.1465625,0.0078125,3.125,3.1171875,0.0595365966,male
0.1736313761,0.073351512,0.1535685574,0.1236802144,0.2442340331,0.1205538187,2.8049748848,20.8575431561,0.9309168928,0.5182685565,0.0600267977,0.1736313761,0.0901295386,0.0157016683,0.2105263158,0.1930443548,0.0078125,2.8203125,2.8125,0.0681238616,male
0.1727542872,0.076902583,0.1777362894,0.1200700117,0.2453675613,0.1252975496,2.9677650933,20.078114698,0.925539327,0.5230811226,0.0599533256,0.1727542872,0.0935735125,0.0157635468,0.2,0.2358774038,0.0078125,0.71875,0.7109375,0.2350692785,male
0.1810153938,0.0743693038,0.1692988134,0.1286731392,0.2541747573,0.1255016181,2.5873245336,12.2814319227,0.9152841196,0.4753174708,0.0599568501,0.1810153938,0.0986434102,0.0161453078,0.275862069,0.20984375,0.0078125,3.6953125,3.6875,0.0599399718,male
0.1635358535,0.0724488983,0.145542522,0.1139296188,0.2274486804,0.1135190616,3.58764999,28.6537805053,0.9270146783,0.5424224035,0.059941349,0.1635358535,0.0625416439,0.0156862745,0.1975308642,0.0596217105,0.0078125,0.4453125,0.4375,0.0916988417,male
0.1702127975,0.0751049461,0.1460529986,0.1239888424,0.250125523,0.1261366806,2.8167929184,13.7645822009,0.9138322536,0.4879657157,0.059944212,0.1702127975,0.0776984149,0.0157016683,0.1927710843,0.1015625,0.0078125,0.5625,0.5546875,0.1617912604,male
0.1604224765,0.0766147645,0.1448238058,0.1209240407,0.2372435395,0.1163194988,6.253208252,85.4919256914,0.933029647,0.5674236135,0.0600783085,0.1604224765,0.0989441462,0.0160965795,0.275862069,0.206756162,0.0078125,3.953125,3.9453125,0.0738896747,male
0.164699838,0.0753617724,0.1470184697,0.1186983289,0.240474934,0.1217766051,4.2086084052,43.6818854252,0.9406687902,0.6040204851,0.0599648197,0.164699838,0.0829626114,0.0156402737,0.253968254,0.1433531746,0.0078125,1.0625,1.0546875,0.1259259259,male
0.1695788014,0.075634514,0.1864675768,0.1167064846,0.2385494881,0.1218430034,4.2699226778,45.8952478176,0.9294980422,0.5437085441,0.0599658703,0.1695788014,0.0824513207,0.0162107396,0.2711864407,0.1484375,0.0078125,3.609375,3.6015625,0.050840564,male
0.1690210039,0.0717781521,0.1431684828,0.1258005029,0.2483151718,0.1225146689,3.0792733952,14.3402988428,0.9022752561,0.4777457231,0.1281475272,0.1690210039,0.1305983277,0.0158415842,0.2253521127,0.3353125,0.0078125,0.7109375,0.703125,0.3973544974,male
0.1673402387,0.0728412302,0.1417391304,0.122173913,0.24,0.117826087,2.1921262457,8.1524097849,0.9137634933,0.5394790898,0.1347826087,0.1673402387,0.1200521837,0.0162436548,0.262295082,0.2986778846,0.0078125,0.6796875,0.671875,0.3847780127,male
0.1805278214,0.0708669981,0.1423853211,0.1295412844,0.2524770642,0.1229357798,2.7999689442,12.1903605226,0.8531148937,0.3134264497,0.1335779817,0.1805278214,0.1266074408,0.0170394036,0.1777777778,0.2348632813,0.0078125,0.5078125,0.5,0.3292410714,male
0.1530390476,0.07403113,0.1580645161,0.0927311828,0.2143655914,0.1216344086,0.8857016476,3.5239818556,0.9732178416,0.8075517084,0.2167741935,0.1530390476,0.0674074987,0.0162601626,0.2051282051,0.2615625,0.0078125,1.0234375,1.015625,0.1913461538,male
0.1666594988,0.0759611676,0.142781457,0.1220750552,0.2450772627,0.1230022075,3.2818479641,16.6194816903,0.9157848693,0.5604066953,0.1270198675,0.1666594988,0.1277198912,0.0172786177,0.275862069,0.2745028409,0.0078125,0.6328125,0.625,0.3325,male
0.1756594288,0.0716515331,0.1441916168,0.1310578842,0.2565269461,0.1254690619,3.7364872839,21.6666687322,0.8767489552,0.4039095598,0.1344111776,0.1756594288,0.1327260958,0.016563147,0.2285714286,0.2578125,0.0078125,0.6484375,0.640625,0.2034368071,male
0.1748257333,0.0715328311,0.1464705882,0.1235294118,0.2470588235,0.1235294118,2.5767320417,10.1101248636,0.8753915189,0.43670621,0.12,0.1748257333,0.1246848016,0.0167539267,0.25,0.7990056818,0.0078125,4.171875,4.1640625,0.2058161351,male
0.1740646137,0.073121844,0.1401834862,0.127706422,0.2528440367,0.1251376147,3.2630397551,16.4240546533,0.8756111108,0.4148388844,0.1332110092,0.1740646137,0.1245331858,0.0163432074,0.231884058,0.2449448529,0.0078125,0.6328125,0.625,0.4225,male
0.1595304912,0.0752731038,0.1468531469,0.1213986014,0.2393706294,0.117972028,1.9935005164,6.8703511773,0.921132353,0.5825310217,0.1336363636,0.1595304912,0.1202544213,0.0184119678,0.1684210526,0.3728693182,0.0078125,2.609375,2.6015625,0.2168168168,male
0.1676483614,0.0672199273,0.1572395129,0.1360216509,0.209526387,0.0735047361,1.9360651296,6.3346257992,0.9039823049,0.48288605,0.1345060893,0.1676483614,0.1427482509,0.0166147456,0.262295082,0.2395833333,0.0078125,0.6015625,0.59375,0.3475877193,male
0.1724363859,0.0715045425,0.145620438,0.1328467153,0.2524087591,0.1195620438,4.5044405412,31.0784170213,0.8782068814,0.47004435,0.1359124088,0.1724363859,0.1389038715,0.1212121212,0.1720430108,0.2609375,0.1328125,0.5546875,0.421875,0.2325102881,male
0.1629811157,0.065952332,0.1427706636,0.1342956927,0.2069848661,0.0726891735,4.3448383375,26.5896054771,0.869835696,0.4297856586,0.1375552969,0.1629811157,0.131376326,0.0167714885,0.1818181818,0.187890625,0.0078125,0.6875,0.6796875,0.2554278416,male
0.1702098476,0.0720230083,0.1460038986,0.1288109162,0.2458869396,0.1170760234,2.7459513382,11.7842974325,0.9118507525,0.5146006682,0.1323586745,0.1702098476,0.1275291864,0.0161616162,0.25,0.3284646739,0.0078125,0.9140625,0.90625,0.1715517241,male
0.1714008073,0.0684281386,0.145321955,0.1312024825,0.2461132661,0.1149107836,2.930439972,13.7261348171,0.8935695846,0.4242544484,0.1370674942,0.1714008073,0.141183375,0.0158415842,0.262295082,0.3136574074,0.0078125,0.6953125,0.6875,0.2732213439,male
0.1468861537,0.0681608164,0.1214667495,0.0971037912,0.2133499068,0.1162461156,2.6033941467,13.2658509848,0.9406588984,0.6119773489,0.1212927284,0.1468861537,0.0815637606,0.015936255,0.2424242424,0.3467684659,0.0078125,4.1796875,4.171875,0.0950701158,male
0.1667637855,0.064488516,0.1601236476,0.1168469861,0.2295826893,0.1127357032,2.1172030424,8.9391762072,0.9378487633,0.5921232942,0.1213910355,0.1667637855,0.1016814813,0.0156402737,0.253968254,0.41953125,0.0078125,2.8203125,2.8125,0.0995726496,male
0.1536918606,0.066495859,0.145158831,0.0990851334,0.2115120712,0.1124269377,2.3525939085,13.9079320272,0.9463490094,0.6292715729,0.121321474,0.1536918606,0.0955971185,0.015920398,0.2424242424,0.6076108871,0.0859375,4.7265625,4.640625,0.1203102453,male
